City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,nemuro,43.3236,145.575,54.19,70,93,24.58,JP,Tue Oct 17 14:15:37 2023
62,albany,42.6001,-73.9662,59.95,65,93,1.01,US,Tue Oct 17 14:11:00 2023
63,puerto ayora,-0.7393,-90.3518,89.56,87,77,5.99,EC,Tue Oct 17 14:15:38 2023
64,kulhudhuffushi,6.6221,73.07,83.12,72,92,7.87,MV,Tue Oct 17 14:15:38 2023
65,georgetown,5.4112,100.3354,79.02,91,20,4.61,MY,Tue Oct 17 14:15:11 2023
66,riberalta,-10.9833,-66.1,93.4,52,75,0.0,BO,Tue Oct 17 14:15:38 2023
67,badger,64.8,-147.5333,34.99,85,75,0.0,US,Tue Oct 17 14:15:38 2023
68,west island,-12.1568,96.8225,78.78,89,75,14.97,CC,Tue Oct 17 14:15:38 2023
69,bredasdorp,-34.5322,20.0403,61.65,83,0,2.66,ZA,Tue Oct 17 14:15:38 2023
70,ulaangom,49.9811,92.0667,40.57,33,15,1.57,MN,Tue Oct 17 14:15:39 2023
71,port moresby,-9.4431,147.1797,73.81,96,100,2.3,PG,Tue Oct 17 14:15:39 2023
72,mount isa,-20.7333,139.5,71.37,20,6,11.5,AU,Tue Oct 17 14:15:39 2023
73,west end,26.6833,-78.9667,75.18,59,26,13.13,BS,Tue Oct 17 14:15:39 2023
74,korla,41.7597,86.1469,50.02,29,0,4.36,CN,Tue Oct 17 14:15:39 2023
75,cayenne,4.9333,-52.3333,87.84,70,75,12.66,GF,Tue Oct 17 14:15:39 2023
76,burdur,37.7203,30.2908,61.5,63,75,2.3,TR,Tue Oct 17 14:15:39 2023
77,chipinge,-20.1883,32.6236,61.7,92,100,5.66,ZW,Tue Oct 17 14:15:40 2023
78,ancud,-41.8697,-73.8203,50.56,87,0,18.99,CL,Tue Oct 17 14:15:40 2023
79,jiangyou,31.7667,104.7167,65.57,97,100,1.81,CN,Tue Oct 17 14:15:40 2023
80,wailua homesteads,22.0669,-159.378,80.74,64,0,5.75,US,Tue Oct 17 14:15:40 2023
81,namdrik,5.5994,168.1028,82.89,70,19,2.98,MH,Tue Oct 17 14:15:40 2023
82,udachny,66.4167,112.4,16.45,92,92,11.45,RU,Tue Oct 17 14:15:40 2023
83,susuman,62.7833,148.1667,-5.75,85,9,1.97,RU,Tue Oct 17 14:15:40 2023
84,fale old settlement,-9.3852,-171.2468,82.13,77,100,10.22,TK,Tue Oct 17 14:15:40 2023
85,pariaman,-0.619,100.12,75.25,89,100,3.65,ID,Tue Oct 17 14:15:41 2023
86,punta arenas,-53.15,-70.9167,51.91,62,75,21.85,CL,Tue Oct 17 14:13:26 2023
87,sitka,57.0531,-135.33,55.29,58,100,23.02,US,Tue Oct 17 14:15:41 2023
88,marka,1.7159,44.7717,79.11,89,29,12.33,SO,Tue Oct 17 14:15:41 2023
89,machico,32.7,-16.7667,75.83,73,40,6.91,PT,Tue Oct 17 14:15:41 2023
90,inari,68.906,27.0288,26.8,97,81,3.22,FI,Tue Oct 17 14:15:41 2023
91,talnakh,69.4865,88.3972,29.21,97,100,9.6,RU,Tue Oct 17 14:15:41 2023
92,kholmsk,47.0511,142.0569,46.44,82,80,14.07,RU,Tue Oct 17 14:15:41 2023
93,sarangani,5.4033,125.4636,81.45,79,0,6.69,PH,Tue Oct 17 14:15:41 2023
94,hithadhoo,-0.6,73.0833,81.41,76,8,14.52,MV,Tue Oct 17 14:15:41 2023
95,puerto natales,-51.7236,-72.4875,55.85,50,75,27.63,CL,Tue Oct 17 14:15:42 2023
96,st. john's,47.5649,-52.7093,45.68,85,75,11.5,CA,Tue Oct 17 14:14:32 2023
97,villa gesell,-37.2639,-56.973,53.69,53,0,17.45,AR,Tue Oct 17 14:15:42 2023
98,saynshand,44.8824,110.1163,40.95,32,52,9.4,MN,Tue Oct 17 14:15:42 2023
99,codrington,-38.2667,141.9667,42.37,82,0,5.82,AU,Tue Oct 17 14:15:42 2023
100,bilibino,68.0546,166.4372,4.96,100,98,2.95,RU,Tue Oct 17 14:15:42 2023
101,hawaiian paradise park,19.5933,-154.9731,81.88,80,40,3.44,US,Tue Oct 17 14:15:42 2023
102,chibougamau,49.9168,-74.3659,53.22,50,0,5.75,CA,Tue Oct 17 14:15:43 2023
103,port mathurin,-19.6833,63.4167,75.43,84,5,10.51,MU,Tue Oct 17 14:15:43 2023
104,petropavlovsk-kamchatsky,53.0452,158.6483,43.45,88,75,5.01,RU,Tue Oct 17 14:15:11 2023
